56
1073741824;0
1073741824;0
1073741824;0.001
1073741824;0.001
1073741824;0.001
1073741824;0.001
2615;0.002
2593;0.003
2590;0.003
2588;0.003
2578;0.003
2574;0.003
2548;0.003
2547;0.003
2525;0.004
2522;0.004
2520;0.004
2510;0.004
2506;0.004
2480;0.004
2458;0.005
2455;0.005
2453;0.005
2443;0.005
2439;0.005
2417;0.006
2414;0.006
2412;0.006
2406;0.006
2384;0.007
2381;0.007
2379;0.007
2357;0.007
2351;0.008
2348;0.008
2326;0.008
2320;0.008
2309;0.009
2287;0.01
2275;0.01
2273;0.01
2273;0.011
2268;0.011
2256;0.011
2254;0.011
2254;0.011
2209;0.012
2197;0.012
2195;0.012
2194;0.013
2182;0.013
2176;0.014
2164;0.014
2161;0.015
2147;0.016
2147;0.017
2108;0.019
2093;0.019
2080;0.019
2072;0.019
2048;0.02
2020;0.023
2009;0.023
1981;0.027
2015;0.047
1957;0.048
1979;0.048
1945;0.049
1948;0.049
1940;0.051
1902;0.052
1928;0.056
1908;0.057
1906;0.057
1928;0.068
1894;0.071
1965;0.936
1884;0.942
1875;0.944
1865;0.944
1863;0.95
1830;0.95
1830;0.951
1791;0.953
1875;0.954
1769;0.955
1806;25.861
1762;36.647
1746;36.648
1724;36.648
1724;36.648
1719;36.648
1737;36.649
1705;36.649
1726;36.655
1694;36.655
1723;36.656
1691;36.656
1708;36.772
1689;36.772
1707;36.772
1667;36.772
